sk_regiao,nm_logradouro,nu_logradouro,cd_cep,nm_bairro,nm_municipio,sg_uf,vl_latitude,vl_longitude
12305448000100,ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR,59,04880230,RECANTO CAMPO BELO,SAO PAULO,SP,"-23,5505199","-46,6333094"
14180365000150,RUA DO CRUZEIRO,495,45604620,JOAO SOARES,ITABUNA,BA,"-14,7809311","-39,2636"
1144533000100,RUA VITOR DE QUEIROZ MATOS,105,03263010,PARQUE SAO LUCAS,SAO PAULO,SP,"-23,5907593","-46,5486725"
1911869000150,RUA ANTONIO GALDINO MARCA,167,36660000,VILA CAXIAS,ALEM PARAIBA,MG,"-21,8833835","-42,6985095"
243955000170,RUA PORTAO DA PIEDADE,155,40070045,BARRIS,SALVADOR,BA,"-12,9830488","-38,5136913"
890690000100,AVENIDA CANDIDO PORTINARI,970,05114001,VILA JAGUARA,SAO PAULO,SP,"-23,5072955","-46,7555407"
887641000100,RUA 24 DE MAIO,574,83323060,VILA TARUMA,PINHAIS,PR,"-25,4387247","-49,1949172"
92783000180,RUA DESEMBARGADOR JAIME,141,75020040,SETOR CENTRAL,ANAPOLIS,GO,"-16,3273047","-48,9533426"
9320876000190,RUA VAIL JUSTINIANO TOLEDO,113,19700000,JARDIM MURILO MACEDO,PARAGUACU PAULISTA,SP,"-22,432076","-50,5803154"
1846005000100,RUA PARAENSE,SN,77930000,CENTRO,AXIXA DO TOCANTINS,TO,"-5,6149591","-47,7708204"
5610297000120,AVENIDA ESTADO,623,75074590,RECANTO DO SOL,ANAPOLIS,GO,"-16,2806113","-48,9319839"
15044857000180,RUA ANTONIO CHICALHONE,218,13290000,JARDIM LAGO AZUL SANTO ANTONIO,LOUVEIRA,SP,"-23,0864185","-46,9770708"
15028623000140,RUA AMANARU,152,21031590,RAMOS,RIO DE JANEIRO,RJ,"-22,8492135","-43,2540858"
7297742000170,ESTRADA VARGEM GRANDE,115,89135000,VARGEM GRANDE,APIUNA,SC,"-27,0337085","-49,3872519"
15291845000150,AVENIDA EXPEDITO GARCIA,104,29146200,CAMPO GRANDE,CARIACICA,ES,"-20,3433882","-40,3875092"
15090404000190,RUA HARROLD LAFFIN,208,89108000,GUARANI MIRIM,MASSARANDUBA,SC,"-26,6109126","-49,0091505"
90400888251650,RUA BATISTA RAFFI,803,13068601,JARDIM APARECIDA,CAMPINAS,SP,"-22,8525901","-47,1565107"
12254288000100,AVENIDA DOM PEDRO II,3180,30720460,CAICARAS,BELO HORIZONTE,MG,"-19,9120148","-43,9711978"
4226709000160,AVENIDA DOUTOR GASTAO VIDIGAL CEAGESP,1946,05314000,VILA LEOPOLDINA,SAO PAULO,SP,"-23,5505199","-46,6333094"
16679748000100,PRACA RAMATIS,161,31230000,PARQUE RIACHUELO,BELO HORIZONTE,MG,"-19,8909944","-43,9523488"
7793444000170,RUA ANTONIO SANGOI NETO,156,97035090,JUSCELINO KUBITSCHEK,SANTA MARIA,RS,"-29,6963563","-53,844565"
3220549000180,RUA DO COMERCIO,102,63190000,ARAPORANGA,SANTANA DO CARIRI,CE,"-7,1882638","-39,7376748"
1687525000100,LOCALIDADE BELA VISTA DO SUL,SN,89300000,BELA VISTA SUL,MAFRA,SC,"-26,1117326","-49,8065079"
11772974000100,RUA JOAO SABINO ANDRADE,70A,55602005,MATRIZ,VITORIA DE SANTO ANTAO,PE,"-8,1138885","-35,2915134"
5850538000290,RUA CASA DO ATOR,275,04546004,VILA OLIMPIA,SAO PAULO,SP,"-23,6001428","-46,6763564"
86396371000150,AVENIDA AFONSO PENA,1825,38400706,APARECIDA,UBERLANDIA,MG,"-18,908382","-48,270572"
52792652000100,AVENIDA LUCIANINHO MELLI,42,06080010,VILA NOVA OSASCO,OSASCO,SP,"-23,541913","-46,7788579"
15818386000110,RUA ANGELO PETRONINI,478,15220000,CENTRO,MENDONCA,SP,"-21,1900316","-49,580999"
1498181000190,RUA MAJOR ANTONIO T CARDOSO,223,97970000,CENTRO,ROQUE GONZALES,RS,"-28,1322847","-55,0223579"
80495856000700,RUA PRINCESA ISABEL,238,89211595,CENTRO,JOINVILLE,SC,"-26,2993337","-48,844535"
2186486000120,ESTRADA GERAL DO MORRO AGUDO,305,94090120,ITACOLOMI,GRAVATAI,RS,"-29,8744377","-50,9984135"
65070146000230,RUA GAMA CERQUEIRA,323,01539010,CAMBUCI,SAO PAULO,SP,"-23,5702953","-46,6197298"
2053352000130,RUA POMPILHO GUIMARAES,171,36700000,FABRICA,LEOPOLDINA,MG,"-21,5368229","-42,6413579"
6319255001170,LOCALIDADE VILA FATIMA,SN,89638000,INTERIOR,VARGEM,SC,"-27,4872075","-50,9728528"
10886199000150,RUA PROFESSOR ALMEIDA COUSIN,125,29050565,ENSEADA DO SUA,VITORIA,ES,"-20,3137737","-40,2941848"
12019359000190,RUA MARECHAL SEREJO,133,22743380,FREGUESIA JACAREPAGUA,RIO DE JANEIRO,RJ,"-22,9249284","-43,3431213"
6216178000150,LOCALIDADE DE LINHA PROGRESSO,SN,85892000,CENTRO,SANTA HELENA,PR,"-24,8569233","-54,3334256"
12459122000120,RUA MIGUEL GLINKA,,24716072,JARDIM CATARINA,SAO GONCALO,RJ,"-22,7853052","-43,0051048"
10532571000120,VIA DE COSMORAMA A AMERICO DE CAMPOS,SN,15530000,ZONA RURAL,COSMORAMA,SP,"-20,4780031","-49,7779205"
